¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,"¿Cuáles son los derechos, que la Constitución debe establecer para todas las personas?",¿Cuáles son los deberes y responsabilidades que la Constitución debe establecer para todas las personas?,¿Cuáles son las instituciones del Estado que debe contemplar la Constitución y que características deberían tener?
,,,
ciudadanía,a la integridad física y psíquica,cumplimiento de tratados y obligaciones internacionales,"plebiscitos, referendos y consultas"
,,,
estado de derecho,acceso a la cultura,respeto por la constitución,defensor del pueblo/ciudadano
,,,
solidaridad,a la honra/ al honor,cumplimiento de las leyes y normas,ministerio público/ defensoría pública
,,,
dignidad,a sufragio/votar,cumplimiento de obligaciones fiscales,juicio político /acusación constitucional
,,,
multiculturalidad,a la información,responsabilidad,cambio o reforma constitucional
,,,
probidad,libertad de enseñanza,"protección, promoción y respeto de los derechos humanos y fundamentales",estado de excepción
,,,
emprendimiento libre,a la seguridad social,de satisfacer cargas públicas,gobierno regional
,,,
república,no discriminación,ejercicio legítimo y no abusivo de los derechos,forma de estado: federalismo/autonomías regionales
,,,
plurinacionalismo,a la nacionalidad,deberes de protección de conservación de la naturaleza,presidencia de la república
,,,
amistad cívica,a la educación,de protección y conservación de patrimonio histórico y cultural,gobierno local/municipal
,,,
participación,a la vivienda digna,servicio a la comunidad,gobierno provincial
,,,
seguridad,libre iniciativa económica / libre empresa,,justicia electoral
,,,
innovación/creatividad,libertad de conciencia,,poder judicial (estructura y funciones)
,,,
patriotismo,a la seguridad/vida sin violencia,,congreso o parlamento (estructura y funciones)
,,,
tolerancia,igualdad ante los tributos,,jefatura de gobierno
,,,
inclusión,libertad personal,,régimen de gobierno presidencial/semi-presidencial/parlamentario
,,,
desarrollo,proteccion judicial de los derechos,,contraloría general/tribunales de cuentas
,,,
integración,ser elegido en cargos públicos,,fuerzas armadas
,,,
respeto,a la salud,,justicia constitucional
,,,
democracia,igualdad ante la ley,,división territorial
,,,
respeto/conservación de la naturaleza o medio ambiente,a la participación,,gobierno nacional(estructura y funciones)
,,,
equidad de género,derecho de asociación,,
,,,
soberanía,a sindicalizarse y a la negociación colectiva,,
,,,
diversidad,reunión pacífica,,
,,,
subsidiaridad,privacidad e intimidad,,
,,,
pluralismo,libertad de trabajo,,
,,,
igualdad,de propiedad,,
,,,
descentralización,igualdad,,
,,,
justicia,a la integración de discapacidad,,
,,,
unidad,igualdad ante las cargas públicas,,
,,,
estado laico,al trabajo,,
,,,
autonomía/libertad,acceso a información pública,,
,,,
responsabilidad,de los pueblos indígenas,,
,,,
transparencia y publicidad,de petición ante las autoridades,,
,,,
paz/convivencia pacífica,libertad de expresión,,
,,,
bien común/comunidad,"derechos del niño, niña y adolescente",,
,,,
identidad cultural,a la identidad cultural,,
,,,
,igualdad de género,,
,,,
,igualdad de acceso a la justicia/debido proceso,,
,,,
,a la vida,,
,,,
,a huelga,,
,,,
,libertad ambulatoria,,
,,,
,respeto a la naturaleza/medio ambiente,,
,,,
,al salario equitativo,,